filename,width,height,class,xmin,ymin,xmax,ymax
IMG_1618_jpeg.rf.0be86784b992a93c3beed53b526d9c52.jpg,416,416,ring,157,299,239,360
IMG_1618_jpeg.rf.0be86784b992a93c3beed53b526d9c52.jpg,416,416,ring,46,229,121,284
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,0,275,18,312
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,0,310,8,342
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,140,276,186,319
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,144,134,179,170
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,247,277,294,318
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,310,262,356,312
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,280,243,324,282
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,318,240,360,284
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,344,234,392,260
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,375,273,415,314
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,362,247,410,279
IMG_1541_jpg.rf.0735b01579c0e815d0d4e92aade53a52.jpg,416,416,ring,403,163,415,197
IMG_1615_jpeg.rf.03799f656ada68ebd9310f0bb62247cd.jpg,416,416,ring,114,201,179,247
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,29,149,52,185
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,9,117,30,146
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,9,91,30,116
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,43,59,63,85
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,29,31,46,50
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,33,42,49,59
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,37,52,53,72
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,88,43,107,68
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,115,290,144,331
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,112,17,129,38
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,88,352,121,399
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,170,394,204,415
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,178,225,205,265
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,199,187,224,225
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,247,165,271,193
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,257,152,281,177
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,286,274,315,313
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,286,247,313,282
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,316,262,345,294
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,325,286,355,328
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,346,260,375,295
Screen-Shot-2021-12-29-at-6-06-47-PM_png.rf.0d1d3510e99406a7f83ab05a4868427d.jpg,416,416,ring,217,40,235,65
Screen-Shot-2021-12-29-at-6-01-41-PM_png.rf.0575d365e7ffa9175dfe35bd4a9fabe2.jpg,416,416,ring,0,369,61,415
Screen-Shot-2021-12-29-at-6-01-41-PM_png.rf.0575d365e7ffa9175dfe35bd4a9fabe2.jpg,416,416,ring,94,358,151,410
Screen-Shot-2021-12-29-at-6-01-41-PM_png.rf.0575d365e7ffa9175dfe35bd4a9fabe2.jpg,416,416,ring,283,245,321,274
Screen-Shot-2021-12-29-at-6-01-41-PM_png.rf.0575d365e7ffa9175dfe35bd4a9fabe2.jpg,416,416,ring,304,261,346,292
Screen-Shot-2021-12-29-at-6-01-41-PM_png.rf.0575d365e7ffa9175dfe35bd4a9fabe2.jpg,416,416,ring,196,242,225,256
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,22,326,71,377
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,58,342,108,397
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,100,372,151,416
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,108,307,152,353
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,0,380,49,416
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,179,253,208,280
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,180,222,210,247
Screen-Shot-2021-12-29-at-6-04-18-PM_png.rf.03de83538aaebcf59877a3ec90d3deae.jpg,416,416,ring,192,280,214,303
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,332,251,380,292
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,365,95,404,121
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,169,270,217,308
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,122,271,170,308
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,79,320,125,356
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,114,323,164,367
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,71,355,126,396
Screen-Shot-2021-12-29-at-6-19-18-PM_png.rf.1057ccd74f7b7c73e75af2be76f049f8.jpg,416,416,ring,34,364,88,401
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,341,336,398,395
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,194,248,247,299
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,125,234,179,300
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,232,183,280,224
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,242,151,289,189
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,87,229,138,285
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,103,208,152,256
IMG_1540_jpg.rf.13349bcc2cbae3d2eef8ed0711644cfc.jpg,416,416,ring,144,245,196,283
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,197,348,230,373
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,224,330,256,355
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,262,336,294,364
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,289,331,321,353
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,101,133,127,152
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,135,101,157,122
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,143,150,167,168
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,143,132,169,149
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,166,122,191,140
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,189,132,213,149
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,233,26,255,41
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,263,35,285,51
Screen-Shot-2021-12-29-at-6-04-54-PM_png.rf.125910fcee8accdc0a73ab9122a72ffd.jpg,416,416,ring,271,56,294,72
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,216,74,231,91
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,246,70,260,87
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,9,99,25,117
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,18,71,34,97
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,40,68,55,88
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,34,79,47,90
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,114,100,129,117
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,83,93,98,110
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,54,53,66,76
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,62,54,70,74
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,67,48,79,64
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,79,42,92,59
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,89,39,102,56
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,100,33,112,48
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,112,27,125,40
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,371,99,387,118
Screen-Shot-2021-12-29-at-6-02-52-PM_png.rf.02c6d206be98a4994ee8ccd6e334f670.jpg,416,416,ring,357,97,370,111
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,244,277,299,323
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,238,260,291,290
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,313,253,374,295
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,274,168,325,198
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,219,188,267,215
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,216,168,269,197
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,204,150,253,185
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,152,179,202,203
Screen-Shot-2021-12-29-at-6-06-37-PM_png.rf.0fe1dae7b1b8eb9e73d386851f5a0d9d.jpg,416,416,ring,235,242,281,270
Screen-Shot-2021-12-29-at-9-06-54-PM_png.rf.0768cfbc0a648a7575431ef8e28c189f.jpg,416,416,ring,217,197,262,250
Screen-Shot-2021-12-29-at-9-06-54-PM_png.rf.0768cfbc0a648a7575431ef8e28c189f.jpg,416,416,ring,274,188,317,239
Screen-Shot-2021-12-29-at-9-06-54-PM_png.rf.0768cfbc0a648a7575431ef8e28c189f.jpg,416,416,ring,140,305,184,354
Screen-Shot-2021-12-29-at-9-06-54-PM_png.rf.0768cfbc0a648a7575431ef8e28c189f.jpg,416,416,ring,44,122,85,166
